ID,img_path,Question,A,B,C,D,caption
TEST_111,./data/test_input_images/TEST_111.jpg,What is happening or why?,People are having a business meeting with documents on the table.,A tea ceremony is being conducted with traditional practices.,A language class is being held with books and notes around.,A cooking class is taking place with various ingredients being used.,arafed group of people sitting on mats in a room with windows
TEST_112,./data/test_input_images/TEST_112.jpg,What cultural tradition might this meal relate to?,Thai Songkran with water festivals and fun,Japanese Hanami with cherry blossoms viewing,Korean New Year (Seollal) with traditional foods,Chinese New Year with dragons and fireworks,araffy meal of soup and vegetables in bowls on a table
TEST_113,./data/test_input_images/TEST_113.jpg,What might the person have done before this moment?,Prepared breakfast in the kitchen,Went for a morning run in the park,Had a team meeting over coffee,Taking a break from all work activities,woman sitting at a desk using a laptop computer in a living room
TEST_114,./data/test_input_images/TEST_114.jpg,What is happening or why?,A team is playing a sport on a field.,A family is having a picnic in a park.,A class is being conducted in a lecture hall.,A group is having a safety briefing at the port.,arafed man in a white shirt and blue pants talking to two men in hard hats
TEST_115,./data/test_input_images/TEST_115.jpg,What is happening or why?,A festival is taking place with colorful decorations and music,A market is in full swing with vendors selling goods,Tourists are visiting a historical site with traditional architecture,A construction project is underway with cranes and workers,arafed view of a small village with a lot of trees
TEST_116,./data/test_input_images/TEST_116.jpg,What is happening or why?,The person is dancing at a concert with friends and music.,The person is practicing yoga in a park surrounded by nature.,"The person is balancing on a log during an obstacle race, showcasing physical agility.",The person is fishing near a river with a fishing rod.,there is a man that is standing on a log in the mud
TEST_117,./data/test_input_images/TEST_117.jpg,What is visually obvious in the image?,A group of people having a meeting with papers and laptops on the table.,A couple walking in a park with trees and benches around.,A person cooking in a kitchen with pots and pans.,Children playing in a playground with swings and slides.,several people sitting around a table with laptops and papers
TEST_118,./data/test_input_images/TEST_118.jpg,What is the child in the image holding?,A bright and vibrant kite with a tail,A colorful beach ball with stripes,A red helium balloon floating upwards,A large round frisbee made of plastic,there is a young girl running with a kite in the park
TEST_119,./data/test_input_images/TEST_119.jpg,What likely happened before this grilling scene?,The steak was eaten by the chef,The grill was stored in a garage,The grill was cleaned to remove residues,The steak was frozen in a large freezer,someone is cooking a steak on a grill with tongs
TEST_120,./data/test_input_images/TEST_120.jpg,Why is the girl using a bucket and spade?,To play with water by the ocean waves,To build a sandcastle with detailed towers,To dig a hole large enough to sit in comfortably,To collect seashells for her collection on the beach,arafed girl in a yellow hat plays with a sand castle
TEST_121,./data/test_input_images/TEST_121.jpg,What is visually obvious in the image?,A person is lifting weights in a gym setting.,A person is running on a track outdoors.,A person is cycling on a mountain trail.,A person is swimming in a large pool.,arafed man lifting a barbell in a gym
TEST_122,./data/test_input_images/TEST_122.jpg,What are the people in the image doing?,Cooking a meal in an outdoor kitchen,Playing sports in a nearby park,Gardening by planting flowers in the soil,Painting a mural on a garden wall,arafed family gardening in the garden with a young girl and older man
TEST_123,./data/test_input_images/TEST_123.jpg,What might have happened before this scene?,The clown was painting a house in bright colors,The clown was performing at a circus with other entertainers,The clown was preparing costumes with colorful fabrics,The clown was shopping for costume accessories,clown giving a child a high five while confetti falls down
TEST_124,./data/test_input_images/TEST_124.jpg,What is happening or why?,People are ordering food and drinks at the counter,People are trying on clothes and checking their fit in front of mirrors,People are browsing for books on various topics in the store,People are shopping for jewelry including rings and necklaces,araffes looking at a display case of jewelry in a store
TEST_125,./data/test_input_images/TEST_125.jpg,What is visually obvious in the image?,A water park with slides and many people enjoying the pools and rides.,A snow-covered mountain with skiers going down the slopes.,A quiet beach with a few sunbathers and calm waves.,A busy city street filled with cars and bustling pedestrians.,people are enjoying a water park with a large water slide
TEST_126,./data/test_input_images/TEST_126.jpg,What is visually obvious in the image?,A person is skiing on snow in a winter landscape.,A person is cycling on a road through a city.,A person is rock climbing on a steep cliff face.,A person is surfing on a wave with skill and balance.,surfer in red shirt riding a wave on a white surfboard
TEST_127,./data/test_input_images/TEST_127.jpg,What health issue should the people in the picture be cautious about?,Weight gain from a sedentary lifestyle.,Skin care to avoid sunburn during the day.,Preventing colds in cold weather conditions.,Dehydration symptoms due to prolonged exertion.,there are two men running on a track in a stadium
